camera,source,black_level,white_level,width,height,iso,time,std,mean,min,max,EV
Leica M11 (60MP),/home/steven/git/camera-char/detector-noise/M11-60MP/L1000467.DNG,1023,16383,9536,6336,64,1.0,1.3542490763992583,1023.281121632114,998,1058,13.469397488720295
Leica M11 (60MP),/home/steven/git/camera-char/detector-noise/M11-60MP/L1000468.DNG,1023,16383,9536,6336,64,0.5,1.342904987200539,1022.922626637336,996,1051,13.481533360346972
Leica M11 (60MP),/home/steven/git/camera-char/detector-noise/M11-60MP/L1000469.DNG,1023,16383,9536,6336,64,0.25,1.33832525591782,1022.9108526573676,996,1049,13.486461815896527
Leica M11 (60MP),/home/steven/git/camera-char/detector-noise/M11-60MP/L1000470.DNG,1023,16383,9536,6336,64,0.125,1.3361009308582712,1022.9038314007312,996,1053,13.488861600559517
Leica M11 (60MP),/home/steven/git/camera-char/detector-noise/M11-60MP/L1000471.DNG,1023,16383,9536,6336,64,0.06666666667,1.3349755658248452,1023.2469187569644,998,1048,13.490077259228215
Leica M11 (60MP),/home/steven/git/camera-char/detector-noise/M11-60MP/L1000472.DNG,1023,16383,9536,6336,64,0.03333333333,1.335037422766221,1022.8997370014108,998,1051,13.490010412585177
Leica M11 (60MP),/home/steven/git/camera-char/detector-noise/M11-60MP/L1000473.DNG,1023,16383,9536,6336,64,0.01666666667,1.334488410448183,1023.2402977479546,999,1049,13.490603819361713
Leica M11 (60MP),/home/steven/git/camera-char/detector-noise/M11-60MP/L1000474.DNG,1023,16383,9536,6336,64,0.008,1.3348351647396235,1022.8980185334362,997,1050,13.490228997287588
Leica M11 (60MP),/home/steven/git/camera-char/detector-noise/M11-60MP/L1000475.DNG,1023,16383,9536,6336,64,0.004,1.3345934954647294,1023.2421836271164,996,1050,13.490490218027873
Leica M11 (60MP),/home/steven/git/camera-char/detector-noise/M11-60MP/L1000476.DNG,1023,16383,9536,6336,64,0.002,1.334567480728582,1023.239343529014,998,1050,13.49051834022145
Leica M11 (60MP),/home/steven/git/camera-char/detector-noise/M11-60MP/L1000477.DNG,1023,16383,9536,6336,64,0.001,1.3342488592005222,1022.8993890211628,997,1049,13.490862817804084
Leica M11 (60MP),/home/steven/git/camera-char/detector-noise/M11-60MP/L1000478.DNG,1023,16383,9536,6336,64,0.0005,1.3349236741072843,1022.8994299512532,998,1051,13.490133339189947
Leica M11 (60MP),/home/steven/git/camera-char/detector-noise/M11-60MP/L1000479.DNG,1023,16383,9536,6336,64,0.00025,1.3351051208423477,1022.898736671984,997,1050,13.489937257180824
Leica M11 (60MP),/home/steven/git/camera-char/detector-noise/M11-60MP/L1000480.DNG,1023,16383,9536,6336,200,1.0,1.8013529104510395,1023.1776265797394,986,1161,13.05780974235974
Leica M11 (60MP),/home/steven/git/camera-char/detector-noise/M11-60MP/L1000481.DNG,1023,16383,9536,6336,200,0.5,1.758973474889575,1023.4707019829958,984,1092,13.092156868303936
Leica M11 (60MP),/home/steven/git/camera-char/detector-noise/M11-60MP/L1000482.DNG,1023,16383,9536,6336,200,0.25,1.7331611584228963,1023.0805658931756,983,1067,13.113484785514634
Leica M11 (60MP),/home/steven/git/camera-char/detector-noise/M11-60MP/L1000483.DNG,1023,16383,9536,6336,200,0.125,1.7199449330056011,1023.0635547484068,985,1063,13.124528220304114
Leica M11 (60MP),/home/steven/git/camera-char/detector-noise/M11-60MP/L1000484.DNG,1023,16383,9536,6336,200,0.06666666667,1.713012113507817,1023.0545385594886,985,1068,13.13035524218085
Leica M11 (60MP),/home/steven/git/camera-char/detector-noise/M11-60MP/L1000485.DNG,1023,16383,9536,6336,200,0.03333333333,1.7096680510419953,1023.0476010498228,984,1065,13.133174356815609
Leica M11 (60MP),/home/steven/git/camera-char/detector-noise/M11-60MP/L1000486.DNG,1023,16383,9536,6336,200,0.01666666667,1.7082741922601876,1023.0464957718704,985,1061,13.134351037473468
Leica M11 (60MP),/home/steven/git/camera-char/detector-noise/M11-60MP/L1000487.DNG,1023,16383,9536,6336,200,0.008,1.707353384405955,1023.0437074611732,986,1062,13.135128900356513
Leica M11 (60MP),/home/steven/git/camera-char/detector-noise/M11-60MP/L1000488.DNG,1023,16383,9536,6336,200,0.004,1.7066750481423525,1023.0426596971976,982,1064,13.135702201016285
